127.0.0.1 - - [24/Jul/2026 12:44:10] "HEAD / HTTP/1.1" 200 -
127.0.0.1 - - [24/Jul/2026 12:45:49] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [24/Jul/2026 12:45:50] "GET /assets/style.css HTTP/1.1" 200 -
127.0.0.1 - - [24/Jul/2026 12:45:50] "GET /assets/data.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Jul/2026 12:45:50] "GET /assets/app.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Jul/2026 12:45:54] "GET /components/buttons/primary-button/index.html HTTP/1.1" 200 -
127.0.0.1 - - [24/Jul/2026 12:45:54] "GET /components/buttons/secondary-button/index.html HTTP/1.1" 200 -
127.0.0.1 - - [24/Jul/2026 12:45:54] "GET /components/buttons/primary-button/style.css HTTP/1.1" 200 -
127.0.0.1 - - [24/Jul/2026 12:45:54] "GET /components/buttons/ghost-button/index.html HTTP/1.1" 200 -
127.0.0.1 - - [24/Jul/2026 12:45:54] "GET /components/buttons/outline-button/index.html HTTP/1.1" 200 -
127.0.0.1 - - [24/Jul/2026 12:45:54] "GET /components/buttons/secondary-button/style.css HTTP/1.1" 200 -
127.0.0.1 - - [24/Jul/2026 12:45:54] "GET /components/buttons/ghost-button/style.css HTTP/1.1" 200 -
127.0.0.1 - - [24/Jul/2026 12:45:54] "GET /components/buttons/outline-button/style.css HTTP/1.1" 200 -
127.0.0.1 - - [24/Jul/2026 12:45:54] "GET /components/buttons/primary-button/README.md HTTP/1.1" 200 -
127.0.0.1 - - [24/Jul/2026 12:47:03] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [24/Jul/2026 12:47:03] "GET /assets/style.css HTTP/1.1" 200 -
127.0.0.1 - - [24/Jul/2026 12:47:03] "GET /assets/data.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Jul/2026 12:47:03] "GET /assets/app.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Jul/2026 12:47:03] "GET /components/buttons/primary-button/index.html HTTP/1.1" 200 -
127.0.0.1 - - [24/Jul/2026 12:47:03] "GET /components/buttons/outline-button/index.html HTTP/1.1" 200 -
127.0.0.1 - - [24/Jul/2026 12:47:03] "GET /components/buttons/secondary-button/index.html HTTP/1.1" 200 -
127.0.0.1 - - [24/Jul/2026 12:47:03] "GET /components/buttons/ghost-button/index.html HTTP/1.1" 200 -
127.0.0.1 - - [24/Jul/2026 12:47:03] "GET /components/buttons/primary-button/style.css HTTP/1.1" 200 -
127.0.0.1 - - [24/Jul/2026 12:47:03] "GET /components/buttons/secondary-button/style.css HTTP/1.1" 200 -
127.0.0.1 - - [24/Jul/2026 12:47:03] "GET /components/buttons/outline-button/style.css HTTP/1.1" 200 -
127.0.0.1 - - [24/Jul/2026 12:47:03] "GET /components/buttons/ghost-button/style.css HTTP/1.1" 200 -
127.0.0.1 - - [24/Jul/2026 12:47:03] "GET /components/buttons/primary-button/README.md HTTP/1.1" 200 -
